group,year,n_records,n_models,n_brands,mean,mean_se,mean_ci_lower,mean_ci_upper,median,q5,q10,q25,q75,q90,q95
Milan,2000,26,8,18,17.009,0.42,16.217,17.841,16.984,13.931,14.457,16.984,17.475,18.857,18.857
Milan,2001,81,10,43,16.273,0.786,15.106,17.136,15.145,13.931,13.931,14.621,17.0,17.639,17.639
Milan,2002,70,12,33,16.397,1.225,15.156,17.882,14.621,13.931,13.931,14.621,17.639,18.857,18.857
Milan,2003,117,14,36,16.575,0.873,15.156,18.271,17.0,13.931,13.931,14.621,18.581,18.857,18.857
Milan,2004,68,19,22,16.553,0.447,15.802,17.561,16.984,13.931,13.931,14.621,17.967,18.581,18.775
Milan,2005,95,22,36,16.581,0.359,15.997,17.423,16.984,13.931,13.931,15.31,17.967,18.295,18.593
Milan,2006,123,24,51,17.101,0.58,16.044,18.08,17.967,13.931,15.31,16.667,18.623,18.623,18.623
Milan,2007,171,33,56,17.307,0.333,16.588,17.822,17.967,13.931,15.31,16.667,18.049,18.623,18.623
Milan,2008,169,57,47,17.639,0.425,16.753,18.321,17.311,14.291,15.31,16.345,18.581,20.615,23.445
Milan,2009,188,70,54,17.34,0.25,16.844,17.767,17.0,14.848,15.31,16.333,17.967,18.623,20.375
Milan,2010,286,95,48,17.364,0.271,16.827,17.768,17.311,14.621,15.31,16.333,17.967,18.623,20.446
Milan,2011,725,202,63,17.307,0.193,16.914,17.61,17.311,14.621,15.31,16.333,17.935,19.224,20.615
Milan,2012,1242,260,74,17.225,0.082,17.071,17.395,17.311,14.63,15.322,16.421,17.935,18.857,19.937
Milan,2013,1599,275,63,17.086,0.091,16.898,17.236,17.0,14.983,15.322,16.333,17.639,18.581,19.226
Milan,2014,1881,349,86,16.911,0.079,16.768,17.054,16.984,14.276,14.983,16.0,17.639,18.581,19.492
Milan,2015,1902,363,89,16.792,0.098,16.61,16.976,16.984,13.931,14.462,15.661,17.639,18.857,19.75
Milan,2016,1522,332,86,16.71,0.121,16.474,16.969,16.984,13.931,14.321,15.661,17.639,18.581,19.226
Milan,2017,1137,242,77,16.518,0.122,16.238,16.719,16.656,13.931,14.557,15.661,17.613,18.258,18.903
Milan,2018,696,146,64,16.725,0.127,16.465,16.935,16.667,13.931,14.276,15.661,17.935,18.623,19.357
Milan,2019,2031,600,67,16.788,0.075,16.638,16.908,16.984,13.931,14.621,15.658,17.667,18.903,19.937
Milan,2020,1853,564,57,16.812,0.088,16.632,16.982,16.984,14.276,14.621,15.322,17.935,18.857,19.621
Milan,2021,276,132,25,17.099,0.252,16.577,17.603,16.984,13.895,14.276,15.145,17.935,18.857,20.848
Milan,2022,1376,492,38,16.943,0.111,16.739,17.17,16.678,13.931,14.621,15.322,17.967,19.226,20.688
Milan,2023,1029,438,42,17.038,0.102,16.881,17.254,16.678,13.931,14.621,15.322,17.967,19.503,20.907
Milan,2024,363,222,34,16.785,0.127,16.525,17.017,16.984,13.193,13.931,15.661,17.639,19.175,19.492
MilanControl,2000,4400,334,431,17.430506818181815,0.1563211313642041,17.124117400707974,17.736896235655657,17.639,14.821915,15.162372727272729,15.333829545454547,18.13607340909091,19.15040909090909,20.88106181818182
MilanControl,2001,5191,310,619,17.232246773261412,0.23200264665139278,16.777521585824683,17.68697196069814,17.59619726449624,14.270054517434025,14.748293007127723,15.238771912926218,18.100540358312465,19.07092275091504,19.64789886341745
MilanControl,2002,5358,317,633,17.137691489361703,0.23566127127242667,16.67579539766775,17.59958758105566,17.268100223964165,14.259488241881302,14.635424785367677,15.224095931317656,18.066428144830162,18.955790406868235,19.85249253452781
MilanControl,2003,6303,327,671,17.210457559892113,0.22370492454473467,16.771995907784433,17.648919211999793,17.588724734253532,14.26295621132794,14.58292511502459,15.409303664921467,18.223317785181663,18.90214199587498,19.85225003966365
MilanControl,2004,7430,408,760,17.210440511440105,0.17525308452738753,16.866944465766426,17.553936557113783,17.545959892328398,14.269390309555854,14.750656527590847,15.557153432032301,18.217623014804847,18.905127321668907,19.856246837146703
MilanControl,2005,8793,478,803,17.10660570908677,0.1595932218938772,16.793802994174772,17.41940842399877,17.287633344706013,14.271874786762197,14.584665643125215,15.964156943022859,18.24168611395428,18.874914932332537,19.86274684408052
MilanControl,2006,9807,521,1016,17.104916896094625,0.16303603231549885,16.78536627275625,17.424467519433,17.031938717242785,14.276668196186398,14.61306750280412,15.997951361272563,18.277092994799634,18.623,19.56974273478128
MilanControl,2007,10848,607,1111,17.121825774336283,0.1516975566415061,16.824498563318933,17.419152985353634,17.021696994837757,14.446522953539825,14.602394911504428,16.02103991519174,17.990129793510324,18.622183628318584,19.887382190265484
MilanControl,2008,10867,738,1302,17.032370111346278,0.16464841142098668,16.709659224961143,17.355080997731413,17.01244943406644,14.290124413361553,14.636437103156346,15.696484402318948,17.67962777215423,18.653994754762127,19.772422011594735
MilanControl,2009,12152,878,1484,17.050512343647135,0.141699587301709,16.772781152535785,17.328243534758485,17.02011117511521,14.504337557603689,14.86074909479921,16.02991400592495,17.68135697827518,18.72839491441738,19.716400674786044
MilanControl,2010,14175,1079,1596,17.00052451499118,0.12807095173086155,16.749505449598693,17.251543580383668,17.017104409171075,14.346325714285717,14.97889664902998,15.732129664902997,17.680535097001766,18.759255026455026,19.685491992945327
MilanControl,2011,16582,1603,1590,17.103945000603066,0.09473987773753624,16.918254840237495,17.289635160968636,17.02123169702087,14.61685647087203,15.025047038957906,16.057533470027742,17.707296104209384,18.739724761789894,19.991628754070675
MilanControl,2012,19933,1891,1503,17.08428736266493,0.07628793708907575,16.934763005970343,17.23381171935952,17.027112225956955,14.63377705312798,15.160960969246977,16.066674860783625,17.6824058094617,18.863745497416346,19.589363768624896
MilanControl,2013,8156,1496,1382,16.99120316331535,0.09709910286579292,16.800888921698398,17.181517404932304,17.0017211868563,14.568950956351152,15.04662726826876,16.223469592937715,17.656775380088277,18.641766307013242,19.602552721922514
MilanControl,2014,8273,1548,1073,16.974457633264837,0.08781629163081706,16.802337701668435,17.14657756486124,16.98677142511785,14.276,14.981062129819897,16.0,17.674850598331922,18.694369757040977,19.58545569926266
MilanControl,2015,8274,1538,580,16.854800821851583,0.09128555843413491,16.67588112732068,17.033720516382488,16.984266860043512,13.939389412617839,14.630773749093546,15.674259608411893,17.64765627266135,18.88798211264201,19.67797969543147
MilanControl,2016,5773,1245,558,16.716607656331195,0.09921385776264423,16.52214849511641,16.91106681754598,16.984,13.938441538195045,14.368827992378314,15.674236791962585,17.651305560367227,18.65709111380565,19.54140810670362
MilanControl,2017,3360,720,342,16.542460714285713,0.1373102966260135,16.273332532898728,16.8115888956727,16.537517857142856,13.969325297619047,14.336477678571429,15.653348214285714,17.62423273809524,18.40547648809524,19.045360416666668
MilanControl,2018,2426,597,279,16.80007131079967,0.14043339612395797,16.524821854396713,17.075320767202626,16.984,13.763960840890354,14.618083676834297,15.660650041220112,17.79024484748557,18.548447650453422,19.835737840065953
MilanControl,2019,8501,2141,320,16.73076755675803,0.07857488222213012,16.57676078760265,16.884774325913405,16.76292883190213,13.931,14.613594988824845,15.39176967415598,17.648774379484763,18.824076696859194,19.788160451711562
MilanControl,2020,7021,2056,280,16.842075915111806,0.0856349950163895,16.67423132487968,17.00992050534393,16.828916820965677,14.147907847884918,14.624334852585102,15.37759792052414,17.823472012533827,18.879734653183306,19.778662868537243
MilanControl,2021,665,428,65,17.116843609022556,0.22339595650651034,16.678987534269798,17.554699683775315,16.872245112781954,13.99831879699248,14.56344962406015,15.600517293233082,18.13972180451128,19.333407518796992,20.55857293233083
MilanControl,2022,2961,1096,123,17.29519486659912,0.20262751664867332,16.89804493396772,17.692344799230522,16.795881121242825,13.926436676798378,14.59839783856805,15.250278959810876,18.121881458966566,19.94917933130699,24.36686018237082
MilanControl,2023,1726,942,143,17.25511413673233,0.1851966807062476,16.892128642548087,17.618099630916575,16.98421320973349,13.653696987253765,14.414224217844728,15.25861993047509,18.22639107763615,19.947513325608345,21.878024333719583
MilanControl,2024,468,294,84,16.879076923076926,0.20240800379431637,16.482357235640066,17.275796610513787,17.0292094017094,13.460950854700856,14.497429487179486,15.821850427350427,17.721564102564102,19.244970085470086,19.654700854700852
Paris,2000,39,11,22,18.098,0.563,17.394,19.638,17.639,16.984,16.984,16.984,18.857,19.776,22.0
Paris,2001,86,16,44,16.031,0.996,15.24,17.92,16.984,13.931,13.931,13.931,17.639,17.967,18.258
Paris,2002,216,22,39,15.823,0.861,14.835,17.474,16.17,13.931,13.931,13.931,17.16,17.639,18.857
Paris,2003,196,13,28,15.91,0.746,14.908,17.3,16.984,13.931,13.931,13.931,17.0,17.949,18.857
Paris,2004,171,15,23,15.521,0.55,14.893,16.956,14.621,13.931,13.931,13.931,16.984,17.967,18.581
Paris,2005,211,21,50,16.483,0.471,15.648,17.522,16.667,13.931,13.931,15.31,17.967,18.623,18.623
Paris,2006,233,26,54,17.422,0.63,16.094,18.387,17.967,13.931,13.931,16.333,18.623,18.623,18.623
Paris,2007,172,18,55,17.293,0.545,15.859,18.14,17.967,13.931,13.931,16.667,18.581,18.623,18.623
Paris,2008,273,84,55,17.486,0.328,16.783,17.96,17.639,14.291,15.016,16.333,18.581,18.81,23.445
Paris,2009,236,65,60,18.144,0.533,17.162,18.784,17.967,15.496,16.167,16.667,18.623,23.445,23.445
Paris,2010,344,78,74,17.953,0.565,16.979,18.592,17.639,15.31,15.333,16.667,18.295,23.445,23.445
Paris,2011,914,251,87,17.39,0.255,16.892,17.843,17.311,14.549,15.145,16.333,18.098,19.937,21.758
Paris,2012,1359,313,111,17.31,0.152,17.046,17.569,17.311,14.966,15.333,16.667,17.935,18.903,19.937
Paris,2013,2649,421,129,17.048,0.084,16.864,17.193,16.984,14.983,15.31,16.333,17.639,18.581,19.594
Paris,2014,3330,523,147,16.933,0.074,16.773,17.058,16.984,14.276,14.983,16.0,17.639,18.581,19.594
Paris,2015,3492,559,152,16.805,0.079,16.661,16.954,16.984,13.931,14.621,15.667,17.639,18.857,19.492
Paris,2016,2436,408,148,16.654,0.087,16.513,16.832,16.984,13.931,14.462,15.661,17.639,18.581,19.226
Paris,2017,1531,240,125,16.535,0.133,16.291,16.779,16.656,13.931,14.276,15.661,17.626,18.459,18.951
Paris,2018,1094,199,113,16.683,0.121,16.422,16.916,16.984,13.449,14.621,15.661,17.639,18.459,19.226
Paris,2019,4344,916,135,16.608,0.066,16.506,16.733,16.667,13.931,14.621,15.322,17.639,18.623,19.492
Paris,2020,3348,805,118,16.769,0.088,16.581,16.923,16.678,13.931,14.621,15.322,17.935,18.857,19.548
Paris,2021,423,229,42,17.016,0.165,16.701,17.299,16.855,13.895,14.621,15.655,18.129,19.226,19.937
Paris,2022,1602,499,56,17.035,0.121,16.796,17.284,16.678,13.895,14.596,15.145,17.967,19.622,21.23
Paris,2023,630,326,72,16.984,0.151,16.723,17.288,16.984,13.193,14.273,15.31,18.194,19.75,20.882
Paris,2024,349,212,55,16.818,0.173,16.534,17.17,16.984,13.193,14.424,15.655,17.639,19.226,19.75
ParisControl,2000,4387,331,427,17.422074766355138,0.1507818757078277,17.126542289967794,17.71760724274248,17.63511807613403,14.797414178253932,15.141998176430361,15.328939594255754,18.125746523820382,19.14310873033964,20.85911875997265
ParisControl,2001,5186,304,618,17.23718472811415,0.21694544429756468,16.811971657290925,17.662397798937377,17.568064211338214,14.27038141149248,14.749080987273429,15.250809872734283,18.09100482067104,19.066864057076746,19.639570767450827
ParisControl,2002,5212,307,627,17.18222812739831,0.2156775017340109,16.75950022399965,17.604956030796973,17.27805660015349,14.268689946277823,14.655157329240216,15.269585571757483,18.098252494244054,19.00903511128166,19.88037854950115
ParisControl,2003,6224,328,679,17.23946481362468,0.2178935777559312,16.812393401223055,17.666536226026302,17.59670115681234,14.267169665809769,14.591199871465296,15.44103823907455,18.26856507069409,18.93130880462725,19.864882551413885
ParisControl,2004,7327,412,759,17.243767708475502,0.16104866498625234,16.928112325102447,17.559423091848558,17.609008188890403,14.274147263545789,14.762178927255357,15.58641695100314,18.244087757608845,18.92401351166917,19.875974204995224
ParisControl,2005,8677,479,789,17.1160154431255,0.14773965300784023,16.826445723230133,17.40558516302087,17.29940106027429,14.276431831278092,14.593404287196037,15.972902155122739,18.245358303561137,18.874691598478737,19.878992163190045
ParisControl,2006,9697,519,1013,17.097248324223987,0.14701207315908557,16.80910466083218,17.385391987615794,17.021331648963596,14.280589357533257,14.638296380323812,15.998387233164896,18.273169124471483,18.623,19.580482314117766
ParisControl,2007,10847,622,1112,17.122030699732644,0.141606863300305,16.844481247664046,17.399580151801242,17.021609846040384,14.44657048031714,14.62419636765926,16.020980363234074,17.981688485295475,18.622183553056146,19.887498755416242
ParisControl,2008,10763,711,1294,17.0303892037536,0.16576603211776983,16.70548778080277,17.35529062670443,17.00124500603921,14.290115952801264,14.637385858961258,15.690522345071077,17.670918052587567,18.680829322679553,19.73693486946019
ParisControl,2009,12104,883,1478,17.03368820224719,0.12486021463597802,16.788962181560674,17.27841422293371,17.001336665565105,14.490340218109717,14.842258013879709,16.02219985128883,17.667433740912095,18.63479502643754,19.65393101454065
ParisControl,2010,14117,1096,1570,16.984678543599916,0.10088910792988441,16.786935892057343,17.18242119514249,17.007904299780407,14.32840780619112,14.976975844726216,15.721522136431254,17.671365516752854,18.642313381029965,19.6092884465538
ParisControl,2011,16393,1554,1566,17.096976209357653,0.08426747414153549,16.931811960040243,17.262140458675063,17.01789086805344,14.620823095223573,15.03096138595742,16.054357530653327,17.69558268773257,18.694387726468616,19.920713170255592
ParisControl,2012,19816,1838,1466,17.077627169963666,0.06849200739287536,16.94338283547363,17.2118715044537,17.025436061768268,14.610756156641099,15.159255752926926,16.04771189947517,17.680914412595882,18.860630601534112,19.587311213161083
ParisControl,2013,7106,1350,1316,16.991361525471433,0.10027170097452337,16.794828991561367,17.1878940593815,17.00794005066141,14.507770053475937,15.010410920349,16.207285111173654,17.659401913875598,18.650745285674077,19.521008725021108
ParisControl,2014,6824,1374,1012,16.977196512309497,0.09163675806084327,16.797588466510245,17.15680455810875,16.987359906213367,14.276,14.980650644783116,16.0,17.68246307151231,18.718442555685815,19.55552564478312
ParisControl,2015,6684,1342,517,16.862948234590064,0.098932753457904,16.66904003781257,17.056856431367557,16.98433034111311,13.941385098743266,14.58785368043088,15.674279174147216,17.649715439856372,18.895352184320764,19.795637342908435
ParisControl,2016,4859,1169,496,16.745925499073884,0.11174255059142649,16.526910099914687,16.96494089823308,16.984,13.939841325375589,14.307136036221443,15.67672669273513,17.6536202922412,18.671404198394733,19.600737806132948
ParisControl,2017,2966,722,294,16.53693492919757,0.1339164250600971,16.27445873607978,16.799411122315362,16.52177882670263,13.974416385704652,14.452231287929871,15.652331759946055,17.619014497639917,18.321314227916385,19.03949460552933
ParisControl,2018,2028,544,230,16.83746104536489,0.14570271637202034,16.55188372127573,17.12303836945405,16.87520710059172,13.991192800788955,14.499108974358974,15.660581360946745,17.92151282051282,18.622285996055226,20.000358974358974
ParisControl,2019,6188,1825,252,16.83573545572075,0.08526470058663192,16.668616642570953,17.00285426887055,16.90283031674208,13.931000000000001,14.610827084680027,15.52812928248222,17.66161797026503,18.99113720103426,20.044917744020687
ParisControl,2020,5526,1815,219,16.876264748461814,0.08498385765691727,16.709696387454258,17.04283310946937,16.972354867897213,14.322276692001447,14.6252370611654,15.392639341295695,17.793299312341656,18.885885269634453,19.865544878754974
ParisControl,2021,518,331,48,17.189685328185327,0.2750859991889935,16.6505167697749,17.728853886595754,16.94587258687259,14.027638996138997,14.363295366795366,15.313318532818533,18.03939768339768,19.16727799227799,21.22036293436293
ParisControl,2022,2735,1089,105,17.270409506398536,0.20511849431322274,16.86837725754462,17.672441755252454,16.80562193784278,13.947146252285192,14.611173674588665,15.34802851919561,18.13467970749543,19.77698427787934,24.353382449725775
ParisControl,2023,2125,1054,113,17.230357176470587,0.16166647875469167,16.913490878111393,17.54722347482978,16.835997176470592,13.92456,14.556221176470586,15.27407811764706,18.11038776470588,19.79082117647059,21.703111999999997
ParisControl,2024,482,304,63,16.85245020746888,0.17368286156576773,16.512031798799974,17.192868616137787,17.02789626556017,13.45316804979253,14.12401244813278,15.821522821576764,17.71916597510373,19.206010373443988,19.46316597510374
