event,variable,year,entropy
fashion_shows,bust,2013,2.379488
fashion_shows,bust,2014,2.342074
fashion_shows,bust,2015,2.388514
fashion_shows,bust,2016,2.436117
fashion_shows,bust,2017,2.484537
fashion_shows,bust,2018,2.660116
fashion_shows,bust,2019,2.668328
fashion_shows,bust,2020,2.679681
fashion_shows,bust,2021,2.778489
fashion_shows,bust,2022,2.840113
fashion_shows,bust,2023,2.838055
fashion_shows,bust,2024,2.650289
fashion_shows,ethnicity,2000,1.147669
fashion_shows,ethnicity,2001,0.992589
fashion_shows,ethnicity,2002,0.915178
fashion_shows,ethnicity,2003,0.871936
fashion_shows,ethnicity,2004,0.987409
fashion_shows,ethnicity,2005,0.971670
fashion_shows,ethnicity,2006,0.872628
fashion_shows,ethnicity,2007,0.950219
fashion_shows,ethnicity,2008,0.965790
fashion_shows,ethnicity,2009,1.056462
fashion_shows,ethnicity,2010,1.150388
fashion_shows,ethnicity,2011,1.133669
fashion_shows,ethnicity,2012,1.130773
fashion_shows,ethnicity,2013,1.253583
fashion_shows,ethnicity,2014,1.288848
fashion_shows,ethnicity,2015,1.195181
fashion_shows,ethnicity,2016,1.520237
fashion_shows,ethnicity,2017,1.578412
fashion_shows,ethnicity,2018,1.614602
fashion_shows,ethnicity,2019,1.860729
fashion_shows,ethnicity,2020,1.961007
fashion_shows,ethnicity,2021,1.952993
fashion_shows,ethnicity,2022,2.178664
fashion_shows,ethnicity,2023,2.259805
fashion_shows,ethnicity,2024,2.220355
fashion_shows,eyes,2000,2.333267
fashion_shows,eyes,2001,2.291711
fashion_shows,eyes,2002,2.344393
fashion_shows,eyes,2003,2.328360
fashion_shows,eyes,2004,2.391267
fashion_shows,eyes,2005,2.384539
fashion_shows,eyes,2006,2.347000
fashion_shows,eyes,2007,2.370179
fashion_shows,eyes,2008,2.476475
fashion_shows,eyes,2009,2.594870
fashion_shows,eyes,2010,2.673441
fashion_shows,eyes,2011,2.692884
fashion_shows,eyes,2012,2.641263
fashion_shows,eyes,2013,2.762399
fashion_shows,eyes,2014,2.636491
fashion_shows,eyes,2015,2.615889
fashion_shows,eyes,2016,2.589263
fashion_shows,eyes,2017,2.614856
fashion_shows,eyes,2018,2.562579
fashion_shows,eyes,2019,2.556470
fashion_shows,eyes,2020,2.531877
fashion_shows,eyes,2021,2.473028
fashion_shows,eyes,2022,2.547054
fashion_shows,eyes,2023,2.493777
fashion_shows,eyes,2024,2.350818
fashion_shows,hair,2000,2.563244
fashion_shows,hair,2001,2.461249
fashion_shows,hair,2002,2.342857
fashion_shows,hair,2003,2.334945
fashion_shows,hair,2004,2.315283
fashion_shows,hair,2005,2.426534
fashion_shows,hair,2006,2.352390
fashion_shows,hair,2007,2.456441
fashion_shows,hair,2008,2.590090
fashion_shows,hair,2009,2.659030
fashion_shows,hair,2010,2.647817
fashion_shows,hair,2011,2.717054
fashion_shows,hair,2012,2.686478
fashion_shows,hair,2013,2.788674
fashion_shows,hair,2014,2.818174
fashion_shows,hair,2015,2.771193
fashion_shows,hair,2016,2.630103
fashion_shows,hair,2017,2.457654
fashion_shows,hair,2018,2.590890
fashion_shows,hair,2019,2.620640
fashion_shows,hair,2020,2.592234
fashion_shows,hair,2021,2.507433
fashion_shows,hair,2022,2.624037
fashion_shows,hair,2023,2.664283
fashion_shows,hair,2024,2.606492
fashion_shows,height,2000,2.125850
fashion_shows,height,2001,2.189151
fashion_shows,height,2002,2.072975
fashion_shows,height,2003,2.081102
fashion_shows,height,2004,2.171734
fashion_shows,height,2005,2.178827
fashion_shows,height,2006,2.166624
fashion_shows,height,2007,2.055487
fashion_shows,height,2008,2.034297
fashion_shows,height,2009,1.939870
fashion_shows,height,2010,2.020859
fashion_shows,height,2011,1.901632
fashion_shows,height,2012,1.850924
fashion_shows,height,2013,1.847446
fashion_shows,height,2014,1.882758
fashion_shows,height,2015,1.937246
fashion_shows,height,2016,1.956442
fashion_shows,height,2017,1.953097
fashion_shows,height,2018,2.026591
fashion_shows,height,2019,2.031496
fashion_shows,height,2020,2.059762
fashion_shows,height,2021,2.139152
fashion_shows,height,2022,2.157281
fashion_shows,height,2023,2.158327
fashion_shows,height,2024,2.156843
fashion_shows,hips,2000,1.857363
fashion_shows,hips,2001,1.862752
fashion_shows,hips,2002,1.795480
fashion_shows,hips,2003,1.748820
fashion_shows,hips,2004,1.859744
fashion_shows,hips,2005,1.997660
fashion_shows,hips,2006,2.013710
fashion_shows,hips,2007,2.280961
fashion_shows,hips,2008,2.408357
fashion_shows,hips,2009,2.332400
fashion_shows,hips,2010,2.220875
fashion_shows,hips,2011,2.255036
fashion_shows,hips,2012,2.098519
fashion_shows,hips,2013,2.205289
fashion_shows,hips,2014,2.129988
fashion_shows,hips,2015,2.105464
fashion_shows,hips,2016,2.011993
fashion_shows,hips,2017,2.101822
fashion_shows,hips,2018,2.108962
fashion_shows,hips,2019,2.216206
fashion_shows,hips,2020,2.336802
fashion_shows,hips,2021,2.553606
fashion_shows,hips,2022,2.797201
fashion_shows,hips,2023,2.622629
fashion_shows,hips,2024,2.299347
fashion_shows,rfm,2000,1.931407
fashion_shows,rfm,2001,2.042252
fashion_shows,rfm,2002,2.060240
fashion_shows,rfm,2003,2.057692
fashion_shows,rfm,2004,2.067554
fashion_shows,rfm,2005,2.042278
fashion_shows,rfm,2006,2.019734
fashion_shows,rfm,2007,2.084852
fashion_shows,rfm,2008,2.192600
fashion_shows,rfm,2009,2.097987
fashion_shows,rfm,2010,2.010910
fashion_shows,rfm,2011,1.968071
fashion_shows,rfm,2012,1.880728
fashion_shows,rfm,2013,1.898307
fashion_shows,rfm,2014,1.895629
fashion_shows,rfm,2015,1.969048
fashion_shows,rfm,2016,1.989977
fashion_shows,rfm,2017,1.978730
fashion_shows,rfm,2018,2.067976
fashion_shows,rfm,2019,2.130131
fashion_shows,rfm,2020,2.209516
fashion_shows,rfm,2021,2.506603
fashion_shows,rfm,2022,2.582182
fashion_shows,rfm,2023,2.536729
fashion_shows,rfm,2024,2.262478
fashion_shows,waist,2000,1.942719
fashion_shows,waist,2001,2.053582
fashion_shows,waist,2002,2.058558
fashion_shows,waist,2003,2.037433
fashion_shows,waist,2004,2.062778
fashion_shows,waist,2005,2.063322
fashion_shows,waist,2006,2.056729
fashion_shows,waist,2007,2.192816
fashion_shows,waist,2008,2.343810
fashion_shows,waist,2009,2.247909
fashion_shows,waist,2010,2.084748
fashion_shows,waist,2011,2.030974
fashion_shows,waist,2012,1.930908
fashion_shows,waist,2013,1.953494
fashion_shows,waist,2014,1.967036
fashion_shows,waist,2015,2.028282
fashion_shows,waist,2016,2.010552
fashion_shows,waist,2017,1.987722
fashion_shows,waist,2018,2.124600
fashion_shows,waist,2019,2.199935
fashion_shows,waist,2020,2.321042
fashion_shows,waist,2021,2.680555
fashion_shows,waist,2022,2.777213
fashion_shows,waist,2023,2.725369
fashion_shows,waist,2024,2.382197
fashion_shows,world_region,2000,2.511468
fashion_shows,world_region,2001,2.585967
fashion_shows,world_region,2002,2.626438
fashion_shows,world_region,2003,2.772121
fashion_shows,world_region,2004,2.740404
fashion_shows,world_region,2005,2.702946
fashion_shows,world_region,2006,2.622327
fashion_shows,world_region,2007,2.519627
fashion_shows,world_region,2008,2.596765
fashion_shows,world_region,2009,2.630401
fashion_shows,world_region,2010,2.767527
fashion_shows,world_region,2011,2.816992
fashion_shows,world_region,2012,2.828292
fashion_shows,world_region,2013,2.739499
fashion_shows,world_region,2014,2.685338
fashion_shows,world_region,2015,2.747291
fashion_shows,world_region,2016,2.870899
fashion_shows,world_region,2017,2.812014
fashion_shows,world_region,2018,2.695161
fashion_shows,world_region,2019,2.993873
fashion_shows,world_region,2020,3.069141
fashion_shows,world_region,2021,2.975296
fashion_shows,world_region,2022,3.062593
fashion_shows,world_region,2023,3.103701
fashion_shows,world_region,2024,3.126341
magazine_covers,bust,2000,2.338626
magazine_covers,bust,2001,2.348816
magazine_covers,bust,2002,2.270070
magazine_covers,bust,2003,2.271451
magazine_covers,bust,2004,2.420132
magazine_covers,bust,2005,2.427540
magazine_covers,bust,2006,2.511986
magazine_covers,bust,2007,2.567181
magazine_covers,bust,2008,2.522693
magazine_covers,bust,2009,2.561589
magazine_covers,bust,2010,2.574505
magazine_covers,bust,2011,2.580950
magazine_covers,bust,2012,2.616700
magazine_covers,bust,2013,2.652945
magazine_covers,bust,2014,2.661679
magazine_covers,bust,2015,2.686738
magazine_covers,bust,2016,2.762539
magazine_covers,bust,2017,2.791778
magazine_covers,bust,2018,2.903553
magazine_covers,bust,2019,2.909177
magazine_covers,bust,2020,2.900110
magazine_covers,bust,2021,2.975614
magazine_covers,bust,2022,2.912472
magazine_covers,bust,2023,3.009653
magazine_covers,bust,2024,2.987788
magazine_covers,ethnicity,2000,0.961360
magazine_covers,ethnicity,2001,0.838560
magazine_covers,ethnicity,2002,1.030150
magazine_covers,ethnicity,2003,0.916684
magazine_covers,ethnicity,2004,0.935379
magazine_covers,ethnicity,2005,0.921605
magazine_covers,ethnicity,2006,0.907655
magazine_covers,ethnicity,2007,1.018558
magazine_covers,ethnicity,2008,0.927885
magazine_covers,ethnicity,2009,0.991465
magazine_covers,ethnicity,2010,0.954145
magazine_covers,ethnicity,2011,0.979342
magazine_covers,ethnicity,2012,0.917361
magazine_covers,ethnicity,2013,0.993851
magazine_covers,ethnicity,2014,1.088708
magazine_covers,ethnicity,2015,1.183258
magazine_covers,ethnicity,2016,1.242262
magazine_covers,ethnicity,2017,1.388015
magazine_covers,ethnicity,2018,1.425365
magazine_covers,ethnicity,2019,1.442891
magazine_covers,ethnicity,2020,1.743016
magazine_covers,ethnicity,2021,1.773712
magazine_covers,ethnicity,2022,1.763336
magazine_covers,ethnicity,2023,1.774791
magazine_covers,ethnicity,2024,1.802884
magazine_covers,eyes,2000,2.246100
magazine_covers,eyes,2001,2.363772
magazine_covers,eyes,2002,2.295689
magazine_covers,eyes,2003,2.326422
magazine_covers,eyes,2004,2.413773
magazine_covers,eyes,2005,2.392713
magazine_covers,eyes,2006,2.430548
magazine_covers,eyes,2007,2.435416
magazine_covers,eyes,2008,2.440338
magazine_covers,eyes,2009,2.438528
magazine_covers,eyes,2010,2.552460
magazine_covers,eyes,2011,2.461907
magazine_covers,eyes,2012,2.523437
magazine_covers,eyes,2013,2.467994
magazine_covers,eyes,2014,2.433394
magazine_covers,eyes,2015,2.458325
magazine_covers,eyes,2016,2.435240
magazine_covers,eyes,2017,2.506406
magazine_covers,eyes,2018,2.449320
magazine_covers,eyes,2019,2.474181
magazine_covers,eyes,2020,2.584599
magazine_covers,eyes,2021,2.617842
magazine_covers,eyes,2022,2.568519
magazine_covers,eyes,2023,2.604451
magazine_covers,eyes,2024,2.575211
magazine_covers,hair,2000,2.514572
magazine_covers,hair,2001,2.370072
magazine_covers,hair,2002,2.375775
magazine_covers,hair,2003,2.405784
magazine_covers,hair,2004,2.403907
magazine_covers,hair,2005,2.456204
magazine_covers,hair,2006,2.423255
magazine_covers,hair,2007,2.471707
magazine_covers,hair,2008,2.516030
magazine_covers,hair,2009,2.550345
magazine_covers,hair,2010,2.557118
magazine_covers,hair,2011,2.618302
magazine_covers,hair,2012,2.588298
magazine_covers,hair,2013,2.633617
magazine_covers,hair,2014,2.467517
magazine_covers,hair,2015,2.554595
magazine_covers,hair,2016,2.521862
magazine_covers,hair,2017,2.573037
magazine_covers,hair,2018,2.587263
magazine_covers,hair,2019,2.647331
magazine_covers,hair,2020,2.643533
magazine_covers,hair,2021,2.703335
magazine_covers,hair,2022,2.708838
magazine_covers,hair,2023,2.744042
magazine_covers,hair,2024,2.687744
magazine_covers,height,2000,2.455732
magazine_covers,height,2001,2.432693
magazine_covers,height,2002,2.469750
magazine_covers,height,2003,2.438680
magazine_covers,height,2004,2.444602
magazine_covers,height,2005,2.508751
magazine_covers,height,2006,2.471179
magazine_covers,height,2007,2.450735
magazine_covers,height,2008,2.405611
magazine_covers,height,2009,2.402745
magazine_covers,height,2010,2.401966
magazine_covers,height,2011,2.384854
magazine_covers,height,2012,2.388204
magazine_covers,height,2013,2.389134
magazine_covers,height,2014,2.331951
magazine_covers,height,2015,2.339496
magazine_covers,height,2016,2.312243
magazine_covers,height,2017,2.382054
magazine_covers,height,2018,2.422968
magazine_covers,height,2019,2.422252
magazine_covers,height,2020,2.450343
magazine_covers,height,2021,2.570897
magazine_covers,height,2022,2.722809
magazine_covers,height,2023,2.479931
magazine_covers,height,2024,2.441585
magazine_covers,hips,2000,2.210353
magazine_covers,hips,2001,2.163795
magazine_covers,hips,2002,2.139134
magazine_covers,hips,2003,2.157777
magazine_covers,hips,2004,2.286611
magazine_covers,hips,2005,2.319488
magazine_covers,hips,2006,2.310621
magazine_covers,hips,2007,2.286725
magazine_covers,hips,2008,2.247166
magazine_covers,hips,2009,2.198545
magazine_covers,hips,2010,2.481057
magazine_covers,hips,2011,2.360149
magazine_covers,hips,2012,2.354710
magazine_covers,hips,2013,2.297350
magazine_covers,hips,2014,2.349404
magazine_covers,hips,2015,2.445088
magazine_covers,hips,2016,2.535958
magazine_covers,hips,2017,2.476624
magazine_covers,hips,2018,2.635395
magazine_covers,hips,2019,2.702455
magazine_covers,hips,2020,2.602705
magazine_covers,hips,2021,2.778937
magazine_covers,hips,2022,2.757527
magazine_covers,hips,2023,2.795771
magazine_covers,hips,2024,2.740625
magazine_covers,rfm,2000,2.182251
magazine_covers,rfm,2001,2.217471
magazine_covers,rfm,2002,2.175160
magazine_covers,rfm,2003,2.181015
magazine_covers,rfm,2004,2.214644
magazine_covers,rfm,2005,2.264739
magazine_covers,rfm,2006,2.245677
magazine_covers,rfm,2007,2.207498
magazine_covers,rfm,2008,2.193943
magazine_covers,rfm,2009,2.144576
magazine_covers,rfm,2010,2.274948
magazine_covers,rfm,2011,2.249509
magazine_covers,rfm,2012,2.289097
magazine_covers,rfm,2013,2.287036
magazine_covers,rfm,2014,2.282541
magazine_covers,rfm,2015,2.356549
magazine_covers,rfm,2016,2.401995
magazine_covers,rfm,2017,2.350564
magazine_covers,rfm,2018,2.465208
magazine_covers,rfm,2019,2.481791
magazine_covers,rfm,2020,2.474113
magazine_covers,rfm,2021,2.600717
magazine_covers,rfm,2022,2.561939
magazine_covers,rfm,2023,2.641050
magazine_covers,rfm,2024,2.554809
magazine_covers,waist,2000,2.213537
magazine_covers,waist,2001,2.256127
magazine_covers,waist,2002,2.213351
magazine_covers,waist,2003,2.202163
magazine_covers,waist,2004,2.255089
magazine_covers,waist,2005,2.299468
magazine_covers,waist,2006,2.335983
magazine_covers,waist,2007,2.275834
magazine_covers,waist,2008,2.266275
magazine_covers,waist,2009,2.207448
magazine_covers,waist,2010,2.424590
magazine_covers,waist,2011,2.340682
magazine_covers,waist,2012,2.375789
magazine_covers,waist,2013,2.380763
magazine_covers,waist,2014,2.380168
magazine_covers,waist,2015,2.479715
magazine_covers,waist,2016,2.541202
magazine_covers,waist,2017,2.441351
magazine_covers,waist,2018,2.599121
magazine_covers,waist,2019,2.627497
magazine_covers,waist,2020,2.621507
magazine_covers,waist,2021,2.749578
magazine_covers,waist,2022,2.667658
magazine_covers,waist,2023,2.819925
magazine_covers,waist,2024,2.682886
magazine_covers,world_region,2000,2.666621
magazine_covers,world_region,2001,2.769792
magazine_covers,world_region,2002,2.749398
magazine_covers,world_region,2003,2.829332
magazine_covers,world_region,2004,2.905009
magazine_covers,world_region,2005,2.877019
magazine_covers,world_region,2006,2.917417
magazine_covers,world_region,2007,2.982579
magazine_covers,world_region,2008,2.924587
magazine_covers,world_region,2009,2.873037
magazine_covers,world_region,2010,2.965743
magazine_covers,world_region,2011,2.925864
magazine_covers,world_region,2012,2.938014
magazine_covers,world_region,2013,2.947894
magazine_covers,world_region,2014,2.947690
magazine_covers,world_region,2015,2.979087
magazine_covers,world_region,2016,2.942311
magazine_covers,world_region,2017,2.894616
magazine_covers,world_region,2018,2.870933
magazine_covers,world_region,2019,2.885772
magazine_covers,world_region,2020,2.979691
magazine_covers,world_region,2021,3.022790
magazine_covers,world_region,2022,3.077509
magazine_covers,world_region,2023,2.926560
magazine_covers,world_region,2024,2.974964
