measurement,metric,event_type,gender,trend,significant,p_value,z_score,sen_slope,sen_intercept,slope_ci_lower,slope_ci_upper,total_change,relative_change_percent,year_start,year_end,time_span_years,n_observations,label
bust-eu_clean,iqr,fashion_shows,male,increasing,True,1.4849396074323451e-05,4.330910609052224,0.3611111111111111,0.1388888888888889,0.2692307692307692,0.4444444444444444,8.666666666666666,173.33333333333331,2000,2024,24,25,Bust Eu IQR - Fashion Shows (male)
bust-eu_clean,skewness,fashion_shows,male,no trend,False,0.387514377839314,0.8641338280192906,0.053563755759701855,-0.01440983607494406,-0.033167797611262546,0.16175208048995612,1.2855301382328446,190.6096785671344,2000,2024,24,25,Bust Eu SKEWNESS - Fashion Shows (male)
bust-eu_clean,kurtosis,fashion_shows,male,no trend,False,0.9070384808036946,0.11677484162422845,0.007951104052807285,1.699162832727481,-0.20666198805683023,0.16940303960984138,0.19082649726737483,11.230618607697641,2000,2024,24,25,Bust Eu KURTOSIS - Fashion Shows (male)
bust-eu_clean,iqr,advertisements,male,no trend,False,0.6068289183418416,0.5146052176200935,0.08333333333333333,12.5,-0.3312499999999998,0.47368421052631576,2.0,14.814814814814813,2000,2024,24,25,Bust Eu IQR - Advertisements (male)
bust-eu_clean,skewness,advertisements,male,increasing,True,0.0314912807050185,2.1508089713383782,0.029383238034011945,-0.23106660937940648,0.006296215605896505,0.05456849886528526,0.7051977128162867,233.53016267309724,2000,2024,24,25,Bust Eu SKEWNESS - Advertisements (male)
bust-eu_clean,kurtosis,advertisements,male,no trend,False,0.9812818641188972,-0.023461856610173252,0.0,-0.7035077993087588,-0.037320492451481835,0.0658148551573527,0.0,-0.0,2000,2024,24,25,Bust Eu KURTOSIS - Advertisements (male)
bust-eu_clean,iqr,magazine_covers,male,increasing,True,0.00398337626959222,2.8794751988050584,0.30527777777777765,1.3894444444444447,0.14285714285714285,0.5,7.3266666666666636,117.22666666666662,2000,2024,24,25,Bust Eu IQR - Magazine Covers (male)
bust-eu_clean,skewness,magazine_covers,male,no trend,False,0.41368622699316804,0.8174238913695991,0.035373447450547296,0.499914020595971,-0.0512357572310138,0.12488976610314621,0.8489627388131351,84.51312053945892,2000,2024,24,25,Bust Eu SKEWNESS - Magazine Covers (male)
bust-eu_clean,kurtosis,magazine_covers,male,no trend,False,0.07983871964585254,-1.7516226243634268,-0.1433142923921103,3.167852435240456,-0.3369900603245197,0.02385699689862375,-3.439543017410647,-734.1533268170368,2000,2024,24,25,Bust Eu KURTOSIS - Magazine Covers (male)
bust-eu_clean,iqr,editorials,male,no trend,False,0.11037465308612626,1.5965114426645384,0.25625,4.609375,-0.017857142857142856,0.48333333333333334,6.1499999999999995,68.33333333333333,2000,2024,24,24,Bust Eu IQR - Editorials (male)
bust-eu_clean,skewness,editorials,male,no trend,False,0.25372276120213155,-1.1413537060754897,-0.03829978487336294,1.400124565137471,-0.09164512225834778,0.017788004818382445,-0.9191948369607106,-116.5446932631156,2000,2024,24,24,Bust Eu SKEWNESS - Editorials (male)
bust-eu_clean,kurtosis,editorials,male,no trend,False,0.9406815986652011,-0.07441320902087377,-0.008979877205480536,0.00912595940447261,-0.167664900780173,0.07511890951597336,-0.21551705293153287,320.6955984981933,2000,2024,24,24,Bust Eu KURTOSIS - Editorials (male)
waist-eu_clean,iqr,fashion_shows,male,increasing,True,0.00014943979045867195,3.7919985441162662,0.2777777777777778,-0.05555555555555558,0.125,0.6022727272727273,6.666666666666667,266.6666666666667,2000,2024,24,25,Waist Eu IQR - Fashion Shows (male)
waist-eu_clean,skewness,fashion_shows,male,decreasing,True,0.026505643985675675,-2.218721990860341,-0.12029860601771745,3.083888322389677,-0.2780985710709135,-0.016326468908019868,-2.887166544425219,-196.83754278530998,2000,2024,24,25,Waist Eu SKEWNESS - Fashion Shows (male)
waist-eu_clean,kurtosis,fashion_shows,male,no trend,False,0.06503135683341554,-1.8450424976628097,-0.12286968606034493,1.7773528153688072,-1.6944379745901956,0.008594050589941712,-2.9488724654482783,-419.68364056377857,2000,2024,24,25,Waist Eu KURTOSIS - Fashion Shows (male)
waist-eu_clean,iqr,advertisements,male,no trend,False,0.9439483489539626,0.07030820885843793,0.0,15.0,-0.5,0.5833333333333334,0.0,0.0,2000,2024,24,25,Waist Eu IQR - Advertisements (male)
waist-eu_clean,skewness,advertisements,male,no trend,False,0.8516395677299671,-0.18702686707290248,-0.0011404871564738746,-0.15796146763829783,-0.024804686017464155,0.029097461932916787,-0.02737169175537299,15.946472563244665,2000,2024,24,25,Waist Eu SKEWNESS - Advertisements (male)
waist-eu_clean,kurtosis,advertisements,male,no trend,False,0.9812818641188972,0.023461856610173252,0.0,-1.1759522068168375,-0.05185006177889943,0.055842775175403085,0.0,-0.0,2000,2024,24,25,Waist Eu KURTOSIS - Advertisements (male)
waist-eu_clean,iqr,magazine_covers,male,increasing,True,0.023638695100390184,2.2629512420208395,0.4073369565217391,2.435326086956522,0.0,0.625,9.77608695652174,252.28611500701263,2000,2024,24,25,Waist Eu IQR - Magazine Covers (male)
waist-eu_clean,skewness,magazine_covers,male,no trend,False,0.29327072669776233,1.0509735746180562,0.024950182160919546,0.5747639834822023,-0.03236964432459627,0.0764476065726604,0.5988043718620691,61.7774640647797,2000,2024,24,25,Waist Eu SKEWNESS - Magazine Covers (male)
waist-eu_clean,kurtosis,magazine_covers,male,no trend,False,0.5593049468922573,0.5838742081211423,0.020775019860616542,-0.9542515667295944,-0.04882806915481952,0.06614002586657526,0.498600476654797,-85.92097840173176,2000,2024,24,25,Waist Eu KURTOSIS - Magazine Covers (male)
waist-eu_clean,iqr,editorials,male,no trend,False,0.5503691046968584,0.5972071221521273,0.06041666666666667,11.369791666666666,-0.29999999999999716,0.54375,1.45,11.54228855721393,2000,2024,24,24,Waist Eu IQR - Editorials (male)
waist-eu_clean,skewness,editorials,male,decreasing,True,0.004337594636827813,-2.8525063458001614,-0.08392842841466303,1.7875100815585032,-0.11752164539434584,-0.022642454248344206,-2.0142822819519126,-496.12923288742303,2000,2024,24,24,Waist Eu SKEWNESS - Editorials (male)
waist-eu_clean,kurtosis,editorials,male,no trend,False,0.06283881974106831,-1.8603302255218441,-0.04575048787050738,-0.3531093798061898,-0.18177851985754576,0.007002486204208032,-1.098011708892177,101.56503291695662,2000,2024,24,24,Waist Eu KURTOSIS - Editorials (male)
hips-eu_clean,iqr,fashion_shows,male,increasing,True,1.1235526109487637e-07,5.305515108454384,0.19230769230769232,-0.2692307692307693,0.14285714285714285,0.25,4.615384615384616,230.7692307692308,2000,2024,24,25,Hips Eu IQR - Fashion Shows (male)
hips-eu_clean,skewness,fashion_shows,male,no trend,False,0.09727654970369648,-1.658202751064044,-0.046467850710400174,2.328826475347683,-0.1157377864923651,0.010668614747184038,-1.1152284170496043,-62.138651741906884,2000,2024,24,25,Hips Eu SKEWNESS - Fashion Shows (male)
hips-eu_clean,kurtosis,fashion_shows,male,no trend,False,0.7614215361463608,-0.303614588222994,-0.010987672242588786,3.8064910052782186,-0.44529289585936443,0.26386956371467424,-0.26370413382213087,-7.374792479013902,2000,2024,24,25,Hips Eu KURTOSIS - Fashion Shows (male)
hips-eu_clean,iqr,advertisements,male,increasing,True,0.0005446980309193883,3.457754235979712,0.125,2.0,0.0,0.16666666666666666,3.0,75.0,2000,2024,24,25,Hips Eu IQR - Advertisements (male)
hips-eu_clean,skewness,advertisements,male,no trend,False,0.20679361337666569,-1.2624313527420916,-0.01744151497107764,1.3275542972279346,-0.037472741598633404,0.023106625350813426,-0.41859635930586336,-36.77432962728256,2000,2024,24,25,Hips Eu SKEWNESS - Advertisements (male)
hips-eu_clean,kurtosis,advertisements,male,increasing,True,0.002115614074718053,3.073503215932696,0.09048115767771578,-0.18096231535543156,0.050138651811318595,0.13422884249939018,2.1715477842651785,237.309815550136,2000,2024,24,25,Hips Eu KURTOSIS - Advertisements (male)
hips-eu_clean,iqr,magazine_covers,male,no trend,False,0.7208837666757106,0.357277908332083,0.0,3.0,-0.08333333333333333,0.09375,0.0,0.0,2000,2024,24,25,Hips Eu IQR - Magazine Covers (male)
hips-eu_clean,skewness,magazine_covers,male,no trend,False,0.5593049468922573,-0.5838742081211423,-0.019326598595123284,2.0254597948112565,-0.07591747880459308,0.06224521965205596,-0.4638383662829588,-27.520539809065554,2000,2024,24,25,Hips Eu SKEWNESS - Magazine Covers (male)
hips-eu_clean,kurtosis,magazine_covers,male,no trend,False,0.8335157043083457,0.21019471492361122,0.019535544743429077,2.493279548833956,-0.22036121980655218,0.2617123900113958,0.46885307384229785,16.82700834257958,2000,2024,24,25,Hips Eu KURTOSIS - Magazine Covers (male)
hips-eu_clean,iqr,editorials,male,increasing,True,0.014300488060915661,2.449625459864634,0.06066176470588235,2.677757352941174,0.0,0.14285714285714285,1.4558823529411764,41.01077050538529,2000,2024,24,24,Hips Eu IQR - Editorials (male)
hips-eu_clean,skewness,editorials,male,no trend,False,0.2643373325084948,1.1161981353131065,0.01803449522855861,1.1518229574711594,-0.014797517922644499,0.057257160318936684,0.4328278854854066,30.78102546425574,2000,2024,24,24,Hips Eu SKEWNESS - Editorials (male)
hips-eu_clean,kurtosis,editorials,male,increasing,True,0.010623249592075945,2.5548535097166662,0.10993071146777077,1.5843085103059993,0.0349574119282738,0.23682262188371925,2.6383370752264983,91.20144324844874,2000,2024,24,24,Hips Eu KURTOSIS - Editorials (male)
rfm,iqr,fashion_shows,male,increasing,True,0.0003773266295925559,3.555454230829737,0.22833004928792036,0.14693365829307847,0.08475608069483147,0.3564522908785207,5.479921182910089,276.99770136648004,2000,2024,24,25,Rfm IQR - Fashion Shows (male)
rfm,skewness,fashion_shows,male,no trend,False,0.6572273920607943,-0.4437443981720681,-0.02967417576315073,1.1587529725297276,-0.15833131931399028,0.05261696962160478,-0.7121802183156175,-119.91125803314573,2000,2024,24,25,Rfm SKEWNESS - Fashion Shows (male)
rfm,kurtosis,fashion_shows,male,no trend,False,0.29327072669776233,-1.0509735746180562,-0.10122227654161206,2.329865454605191,-0.7168440912124568,0.08263604229754604,-2.4293346369986892,-132.92543068567767,2000,2024,24,25,Rfm KURTOSIS - Fashion Shows (male)
rfm,iqr,advertisements,male,no trend,False,0.8884667324021662,0.14024460251276935,0.02330565915422464,8.578542406290827,-0.3005464480874316,0.32604463811545775,0.5593358197013913,6.46746194764038,2000,2024,24,25,Rfm IQR - Advertisements (male)
rfm,skewness,advertisements,male,no trend,False,0.37433766041453165,-0.8883776185962867,-0.011758015066040323,-0.07473891871616642,-0.04063187921008791,0.01524773556908165,-0.28219236158496774,126.691222170837,2000,2024,24,25,Rfm SKEWNESS - Advertisements (male)
rfm,kurtosis,advertisements,male,no trend,False,0.29106711654476447,-1.0557835474577963,-0.023299380833203917,-0.6924692634386893,-0.06239821943053032,0.022660306040977223,-0.559185139996894,58.938371608423026,2000,2024,24,25,Rfm KURTOSIS - Advertisements (male)
rfm,iqr,magazine_covers,male,increasing,True,0.020769866768182377,2.3121418641597233,0.26050144823498406,2.4193714078949378,0.04763591260258925,0.4154446193901597,6.252034757639617,92.24795607483563,2000,2024,24,25,Rfm IQR - Magazine Covers (male)
rfm,skewness,magazine_covers,male,no trend,False,0.3152515554041373,1.0042636379683647,0.024266515977201926,0.28800595510122956,-0.030550632892125052,0.07156277083292835,0.5823963834528463,82.6703810159911,2000,2024,24,25,Rfm SKEWNESS - Magazine Covers (male)
rfm,kurtosis,magazine_covers,male,no trend,False,0.944141999801307,-0.07006490497453707,-0.0009856720930405528,-0.6736095332484753,-0.0723634667399519,0.04062284393138449,-0.02365613023297327,3.4217219103661844,2000,2024,24,25,Rfm KURTOSIS - Magazine Covers (male)
rfm,iqr,editorials,male,no trend,False,0.7283144806017332,0.34736851924036644,0.019477448945549244,7.509722058249345,-0.19751910197383982,0.23641996983309896,0.46745877469318187,5.928994119837521,2000,2024,24,24,Rfm IQR - Editorials (male)
rfm,skewness,editorials,male,decreasing,True,0.005064575627610424,-2.8028975397862452,-0.05829346154759426,1.1330564040424187,-0.10569247853433057,-0.011774325990663248,-1.3990430771422622,-570.2231852212035,2000,2024,24,24,Rfm SKEWNESS - Editorials (male)
rfm,kurtosis,editorials,male,no trend,False,0.05004866332140967,-1.959547837549676,-0.03525916953108579,-0.47142698296729524,-0.0911925160406013,0.00054004160686838,-0.846220068746059,80.06677141623409,2000,2024,24,24,Rfm KURTOSIS - Editorials (male)
