event,measurement,year,mean,std,n
fashion_shows,height_cm,2024,178.225490,2.091548,1071
fashion_shows,height_cm,2002,177.637197,1.923289,5237
fashion_shows,height_cm,2003,177.932725,1.938982,6243
fashion_shows,height_cm,2004,178.017949,2.122927,7354
fashion_shows,height_cm,2005,178.092371,2.138039,8704
fashion_shows,height_cm,2006,177.891617,2.112105,9877
fashion_shows,height_cm,2015,178.646730,1.679184,11085
fashion_shows,height_cm,2014,178.577822,1.590136,10871
fashion_shows,height_cm,2012,178.405707,1.540313,21571
fashion_shows,height_cm,1999,177.763158,2.161815,1653
fashion_shows,height_cm,2001,177.613764,2.160224,5151
fashion_shows,height_cm,2000,177.747302,2.027718,4448
fashion_shows,height_cm,2007,177.984008,1.889946,11068
fashion_shows,height_cm,2008,178.200583,1.850320,11150
fashion_shows,height_cm,2009,178.401907,1.683596,12427
fashion_shows,height_cm,2010,178.225255,1.825621,14619
fashion_shows,height_cm,2019,178.214117,1.845144,10980
fashion_shows,height_cm,2023,178.125508,2.094655,2952
fashion_shows,height_cm,2022,177.978405,2.092465,4515
fashion_shows,height_cm,2011,178.380737,1.620434,17583
fashion_shows,height_cm,2020,178.142755,1.898044,9096
fashion_shows,height_cm,2016,178.620558,1.711728,7963
fashion_shows,height_cm,2013,178.551679,1.534965,10333
fashion_shows,height_cm,2021,177.947503,2.054871,981
fashion_shows,height_cm,2018,178.159741,1.836117,3634
fashion_shows,height_cm,2017,178.504220,1.706012,5213
fashion_shows,height_cm,1994,177.212724,2.171776,503
fashion_shows,height_cm,1995,178.115254,2.364732,590
fashion_shows,height_cm,1997,177.577882,2.293808,2767
fashion_shows,height_cm,1998,177.509955,2.190880,2863
fashion_shows,height_cm,1996,177.528694,2.405820,697
fashion_shows,height_cm,1991,177.405836,1.879627,377
fashion_shows,height_cm,1992,177.503976,1.706556,503
fashion_shows,height_cm,1993,177.633333,1.825859,705
fashion_shows,height_cm,1987,175.957447,1.421228,47
fashion_shows,height_cm,1988,176.286585,1.683307,82
fashion_shows,height_cm,1990,177.179293,2.046893,198
fashion_shows,height_cm,1984,178.000000,2.645751,3
fashion_shows,height_cm,1981,180.000000,0.000000,1
fashion_shows,height_cm,1985,176.000000,1.511858,8
fashion_shows,height_cm,1989,175.940000,1.895870,75
fashion_shows,height_cm,1986,175.750000,1.356801,12
fashion_shows,height_cm,1982,175.000000,0.000000,1
fashion_shows,height_cm,1980,173.000000,0.000000,1
fashion_shows,bust-eu_clean,2024,79.806162,3.425853,1071
fashion_shows,bust-eu_clean,2002,84.327955,2.281598,5237
fashion_shows,bust-eu_clean,2003,84.483902,2.301791,6243
fashion_shows,bust-eu_clean,2004,84.333900,2.378343,7354
fashion_shows,bust-eu_clean,2005,84.103516,2.490537,8704
fashion_shows,bust-eu_clean,2006,83.619571,2.692240,9877
fashion_shows,bust-eu_clean,2015,81.138611,2.636824,11085
fashion_shows,bust-eu_clean,2014,81.335756,2.517172,10871
fashion_shows,bust-eu_clean,2012,81.718163,2.610283,21571
fashion_shows,bust-eu_clean,1999,85.050212,2.537650,1653
fashion_shows,bust-eu_clean,2001,84.467288,2.273944,5151
fashion_shows,bust-eu_clean,2000,84.726169,2.192936,4448
fashion_shows,bust-eu_clean,2007,83.168775,2.821978,11068
fashion_shows,bust-eu_clean,2008,82.741794,2.976914,11150
fashion_shows,bust-eu_clean,2009,82.415064,2.837739,12427
fashion_shows,bust-eu_clean,2010,82.007832,2.703300,14619
fashion_shows,bust-eu_clean,2019,79.867559,3.488212,10980
fashion_shows,bust-eu_clean,2023,79.989804,4.133468,2952
fashion_shows,bust-eu_clean,2022,80.078317,4.141983,4515
fashion_shows,bust-eu_clean,2011,81.909828,2.542079,17583
fashion_shows,bust-eu_clean,2020,79.870163,3.528040,9096
fashion_shows,bust-eu_clean,2016,81.010800,2.765381,7963
fashion_shows,bust-eu_clean,2013,81.487661,2.613133,10333
fashion_shows,bust-eu_clean,2021,80.069419,3.894442,981
fashion_shows,bust-eu_clean,2018,80.729719,3.459684,3634
fashion_shows,bust-eu_clean,2017,80.946960,2.902577,5213
fashion_shows,bust-eu_clean,1994,86.918489,2.058728,503
fashion_shows,bust-eu_clean,1995,87.370339,2.376966,590
fashion_shows,bust-eu_clean,1997,85.910011,2.146824,2767
fashion_shows,bust-eu_clean,1998,85.467866,2.300688,2863
fashion_shows,bust-eu_clean,1996,86.901004,1.977303,697
fashion_shows,bust-eu_clean,1991,86.667109,1.905669,377
fashion_shows,bust-eu_clean,1992,86.977137,1.960510,503
fashion_shows,bust-eu_clean,1993,87.207801,2.044361,705
fashion_shows,bust-eu_clean,1987,86.127660,0.986144,47
fashion_shows,bust-eu_clean,1988,86.750000,1.470387,82
fashion_shows,bust-eu_clean,1990,86.762626,1.850152,198
fashion_shows,bust-eu_clean,1984,87.500000,2.179449,3
fashion_shows,bust-eu_clean,1981,90.000000,0.000000,1
fashion_shows,bust-eu_clean,1985,86.500000,1.035098,8
fashion_shows,bust-eu_clean,1989,86.500000,1.444935,75
fashion_shows,bust-eu_clean,1986,86.250000,0.583874,12
fashion_shows,bust-eu_clean,1982,86.000000,0.000000,1
fashion_shows,bust-eu_clean,1980,86.500000,0.000000,1
fashion_shows,waist-eu_clean,2024,60.427638,2.620220,1071
fashion_shows,waist-eu_clean,2002,60.306301,1.895760,5237
fashion_shows,waist-eu_clean,2003,60.484463,1.856132,6243
fashion_shows,waist-eu_clean,2004,60.537463,1.903776,7354
fashion_shows,waist-eu_clean,2005,60.487270,1.904811,8704
fashion_shows,waist-eu_clean,2006,60.392872,1.892296,9877
fashion_shows,waist-eu_clean,2015,60.479639,1.839223,11085
fashion_shows,waist-eu_clean,2014,60.559663,1.729959,10871
fashion_shows,waist-eu_clean,2012,60.613773,1.668573,21571
fashion_shows,waist-eu_clean,1999,60.552934,1.737132,1653
fashion_shows,waist-eu_clean,2001,60.409202,1.886350,5151
fashion_shows,waist-eu_clean,2000,60.708386,1.688399,4448
fashion_shows,waist-eu_clean,2007,60.521377,2.168157,11068
fashion_shows,waist-eu_clean,2008,60.507632,2.521544,11150
fashion_shows,waist-eu_clean,2009,60.596709,2.290960,12427
fashion_shows,waist-eu_clean,2010,60.471072,1.946064,14619
fashion_shows,waist-eu_clean,2019,60.195911,2.183648,10980
fashion_shows,waist-eu_clean,2023,60.643360,3.692970,2952
fashion_shows,waist-eu_clean,2022,60.606711,3.889476,4515
fashion_shows,waist-eu_clean,2011,60.632025,1.844181,17583
fashion_shows,waist-eu_clean,2020,60.253276,2.464783,9096
fashion_shows,waist-eu_clean,2016,60.306166,1.806901,7963
fashion_shows,waist-eu_clean,2013,60.565470,1.706690,10333
fashion_shows,waist-eu_clean,2021,60.478491,3.531123,981
fashion_shows,waist-eu_clean,2018,60.292983,2.025186,3634
fashion_shows,waist-eu_clean,2017,60.122214,1.766118,5213
fashion_shows,waist-eu_clean,1994,62.169980,3.446292,503
fashion_shows,waist-eu_clean,1995,62.138983,2.790082,590
fashion_shows,waist-eu_clean,1997,61.221648,1.908107,2767
fashion_shows,waist-eu_clean,1998,60.944953,2.069659,2863
fashion_shows,waist-eu_clean,1996,61.510043,2.331823,697
fashion_shows,waist-eu_clean,1991,62.893899,4.436537,377
fashion_shows,waist-eu_clean,1992,62.249105,3.656239,503
fashion_shows,waist-eu_clean,1993,62.302128,3.732791,705
fashion_shows,waist-eu_clean,1987,65.319149,4.451948,47
fashion_shows,waist-eu_clean,1988,64.725610,4.501819,82
fashion_shows,waist-eu_clean,1990,63.421717,4.623125,198
fashion_shows,waist-eu_clean,1984,63.833333,1.040833,3
fashion_shows,waist-eu_clean,1981,65.000000,0.000000,1
fashion_shows,waist-eu_clean,1985,65.687500,3.945499,8
fashion_shows,waist-eu_clean,1989,66.313333,4.117180,75
fashion_shows,waist-eu_clean,1986,66.333333,3.961940,12
fashion_shows,waist-eu_clean,1982,63.000000,0.000000,1
fashion_shows,waist-eu_clean,1980,61.000000,0.000000,1
fashion_shows,hips-eu_clean,2024,88.065173,2.411885,1071
fashion_shows,hips-eu_clean,2002,88.112183,1.457236,5237
fashion_shows,hips-eu_clean,2003,88.156495,1.390803,6243
fashion_shows,hips-eu_clean,2004,88.255099,1.553959,7354
fashion_shows,hips-eu_clean,2005,88.127125,1.783756,8704
fashion_shows,hips-eu_clean,2006,88.057001,1.812617,9877
fashion_shows,hips-eu_clean,2015,88.106856,1.986800,11085
fashion_shows,hips-eu_clean,2014,88.120090,2.036127,10871
fashion_shows,hips-eu_clean,2012,88.002874,1.973049,21571
fashion_shows,hips-eu_clean,1999,88.137931,1.705470,1653
fashion_shows,hips-eu_clean,2001,88.154242,1.558640,5151
fashion_shows,hips-eu_clean,2000,88.177383,1.550263,4448
fashion_shows,hips-eu_clean,2007,88.076617,2.367946,11068
fashion_shows,hips-eu_clean,2008,88.057803,2.689670,11150
fashion_shows,hips-eu_clean,2009,88.154261,2.492937,12427
fashion_shows,hips-eu_clean,2010,87.945414,2.229856,14619
fashion_shows,hips-eu_clean,2019,87.730519,2.219467,10980
fashion_shows,hips-eu_clean,2023,88.016260,3.332393,2952
fashion_shows,hips-eu_clean,2022,88.054241,3.968000,4515
fashion_shows,hips-eu_clean,2011,88.139908,2.307346,17583
fashion_shows,hips-eu_clean,2020,87.785642,2.503936,9096
fashion_shows,hips-eu_clean,2016,87.836494,1.809507,7963
fashion_shows,hips-eu_clean,2013,88.134762,2.195369,10333
fashion_shows,hips-eu_clean,2021,88.219878,3.110139,981
fashion_shows,hips-eu_clean,2018,87.784783,1.993762,3634
fashion_shows,hips-eu_clean,2017,87.817782,1.979577,5213
fashion_shows,hips-eu_clean,1994,90.144135,2.656384,503
fashion_shows,hips-eu_clean,1995,89.552542,2.223837,590
fashion_shows,hips-eu_clean,1997,88.621612,1.806315,2767
fashion_shows,hips-eu_clean,1998,88.488823,1.809753,2863
fashion_shows,hips-eu_clean,1996,89.269010,1.919841,697
fashion_shows,hips-eu_clean,1991,90.953581,3.171489,377
fashion_shows,hips-eu_clean,1992,90.688867,2.631807,503
fashion_shows,hips-eu_clean,1993,90.603546,3.015924,705
fashion_shows,hips-eu_clean,1987,93.595745,2.940789,47
fashion_shows,hips-eu_clean,1988,92.926829,3.238581,82
fashion_shows,hips-eu_clean,1990,91.997475,3.136690,198
fashion_shows,hips-eu_clean,1984,91.666667,2.309401,3
fashion_shows,hips-eu_clean,1981,93.000000,0.000000,1
fashion_shows,hips-eu_clean,1985,93.000000,3.464102,8
fashion_shows,hips-eu_clean,1989,93.793333,3.214298,75
fashion_shows,hips-eu_clean,1986,94.916667,2.678478,12
fashion_shows,hips-eu_clean,1982,93.000000,0.000000,1
fashion_shows,hips-eu_clean,1980,89.000000,0.000000,1
fashion_shows,rfm,2024,16.916844,2.324581,1071
fashion_shows,rfm,2002,17.032280,1.898951,5237
fashion_shows,rfm,2003,17.109679,1.894118,6243
fashion_shows,rfm,2004,17.131794,1.912890,7354
fashion_shows,rfm,2005,17.060003,1.865147,8704
fashion_shows,rfm,2006,17.035943,1.823569,9877
fashion_shows,rfm,2015,16.873329,1.733443,11085
fashion_shows,rfm,2014,16.980523,1.610735,10871
fashion_shows,rfm,2012,17.092230,1.586911,21571
fashion_shows,rfm,1999,17.238316,1.841061,1653
fashion_shows,rfm,2001,17.142768,1.865099,5151
fashion_shows,rfm,2000,17.399754,1.669407,4448
fashion_shows,rfm,2007,17.117546,1.946267,11068
fashion_shows,rfm,2008,17.011747,2.167689,11150
fashion_shows,rfm,2009,17.046887,1.972000,12427
fashion_shows,rfm,2010,16.999678,1.807548,14619
fashion_shows,rfm,2019,16.718699,2.036418,10980
fashion_shows,rfm,2023,17.074308,3.058088,2952
fashion_shows,rfm,2022,17.068748,3.200295,4515
fashion_shows,rfm,2011,17.109505,1.731749,17583
fashion_shows,rfm,2020,16.782941,2.204669,9096
fashion_shows,rfm,2016,16.711887,1.770104,7963
fashion_shows,rfm,2013,16.995221,1.615053,10333
fashion_shows,rfm,2021,16.985950,2.967336,981
fashion_shows,rfm,2018,16.841380,1.913698,3634
fashion_shows,rfm,2017,16.570990,1.750307,5213
fashion_shows,rfm,1994,18.819988,3.164539,503
fashion_shows,rfm,1995,18.563370,2.532689,590
fashion_shows,rfm,1997,17.936112,1.839296,2767
fashion_shows,rfm,1998,17.687416,1.903682,2863
fashion_shows,rfm,1996,18.197207,2.229682,697
fashion_shows,rfm,1991,19.307941,3.998498,377
fashion_shows,rfm,1992,18.776444,3.344233,503
fashion_shows,rfm,1993,18.787870,3.229006,705
fashion_shows,rfm,1987,21.844114,4.205201,47
fashion_shows,rfm,1988,21.237854,4.249447,82
fashion_shows,rfm,1990,19.810328,4.395436,198
fashion_shows,rfm,1984,20.227292,0.531080,3
fashion_shows,rfm,1981,20.615385,0.000000,1
fashion_shows,rfm,1985,22.221425,3.660444,8
fashion_shows,rfm,1989,22.705736,3.817646,75
fashion_shows,rfm,1986,22.820029,3.510320,12
fashion_shows,rfm,1982,20.444444,0.000000,1
fashion_shows,rfm,1980,19.278689,0.000000,1
advertisements,height_cm,2021,177.071637,2.882862,2394
advertisements,height_cm,2023,177.407738,2.917436,2520
advertisements,height_cm,2024,177.529117,2.817450,2095
advertisements,height_cm,2017,177.433174,2.462621,2716
advertisements,height_cm,2018,177.336844,2.641126,2991
advertisements,height_cm,2019,177.253722,2.676655,3090
advertisements,height_cm,2020,177.236920,2.920364,2351
advertisements,height_cm,2022,177.260622,2.955967,2636
advertisements,height_cm,2015,177.624909,2.442898,2750
advertisements,height_cm,2008,177.717763,2.334851,760
advertisements,height_cm,2009,177.642171,2.402615,1041
advertisements,height_cm,2010,177.586469,2.428243,1249
advertisements,height_cm,2011,177.621498,2.276046,1642
advertisements,height_cm,2012,177.728240,2.298668,2068
advertisements,height_cm,2013,177.684831,2.394286,2459
advertisements,height_cm,2014,177.709775,2.377997,2486
advertisements,height_cm,2016,177.572309,2.403907,3001
advertisements,height_cm,2007,177.635838,2.312296,346
advertisements,height_cm,2003,177.450980,2.410070,153
advertisements,height_cm,1998,177.129630,2.537027,162
advertisements,height_cm,1999,176.847059,3.035806,170
advertisements,height_cm,2000,177.420732,2.204944,164
advertisements,height_cm,2001,177.240741,2.510983,162
advertisements,height_cm,2004,178.021368,2.502268,234
advertisements,height_cm,2006,177.676080,2.425674,301
advertisements,height_cm,2002,177.554878,2.250434,164
advertisements,height_cm,2005,177.631915,2.221602,235
advertisements,height_cm,1995,177.384615,2.486717,91
advertisements,height_cm,1996,176.816993,2.412789,153
advertisements,height_cm,1997,176.966667,2.619773,165
advertisements,height_cm,1990,178.123188,1.980430,69
advertisements,height_cm,1992,177.705556,2.047051,90
advertisements,height_cm,1993,177.091743,2.523193,109
advertisements,height_cm,1994,176.965517,2.445681,87
advertisements,height_cm,1991,177.636905,2.369931,84
advertisements,height_cm,1982,178.437500,1.314978,16
advertisements,height_cm,1983,177.888889,1.711171,18
advertisements,height_cm,1984,178.638889,1.661020,18
advertisements,height_cm,1987,177.808511,1.689331,47
advertisements,height_cm,1988,177.549020,2.003135,51
advertisements,height_cm,1989,177.820513,2.611934,39
advertisements,height_cm,1976,177.727273,0.904534,11
advertisements,height_cm,1985,177.764706,2.411675,17
advertisements,height_cm,1986,178.240000,1.690168,25
advertisements,height_cm,1977,178.571429,0.975900,7
advertisements,height_cm,1978,178.125000,1.807722,8
advertisements,height_cm,1979,178.166667,0.983192,6
advertisements,height_cm,1980,178.100000,2.024846,10
advertisements,height_cm,1981,179.000000,1.154701,13
advertisements,height_cm,1970,178.000000,0.000000,1
advertisements,height_cm,1971,178.000000,0.000000,5
advertisements,height_cm,1972,178.000000,0.000000,9
advertisements,height_cm,1973,178.000000,0.000000,8
advertisements,height_cm,1974,178.000000,0.000000,11
advertisements,height_cm,1975,178.000000,0.000000,8
advertisements,bust-eu_clean,2021,82.262490,5.031450,2394
advertisements,bust-eu_clean,2023,81.698333,4.752536,2520
advertisements,bust-eu_clean,2024,81.516468,4.895210,2095
advertisements,bust-eu_clean,2017,82.424853,3.937235,2716
advertisements,bust-eu_clean,2018,82.001906,4.296801,2991
advertisements,bust-eu_clean,2019,82.054369,4.299894,3090
advertisements,bust-eu_clean,2020,81.931986,4.449266,2351
advertisements,bust-eu_clean,2022,82.088126,4.986483,2636
advertisements,bust-eu_clean,2015,82.950545,3.872519,2750
advertisements,bust-eu_clean,2008,84.516711,2.620261,760
advertisements,bust-eu_clean,2009,84.149664,2.812866,1041
advertisements,bust-eu_clean,2010,83.796557,3.350315,1249
advertisements,bust-eu_clean,2011,83.589525,3.195236,1642
advertisements,bust-eu_clean,2012,83.270068,3.242155,2068
advertisements,bust-eu_clean,2013,83.135990,3.406551,2459
advertisements,bust-eu_clean,2014,83.189179,3.465519,2486
advertisements,bust-eu_clean,2016,82.798767,4.167413,3001
advertisements,bust-eu_clean,2007,84.357225,2.769600,346
advertisements,bust-eu_clean,2003,85.091503,2.197814,153
advertisements,bust-eu_clean,1998,85.354938,2.155221,162
advertisements,bust-eu_clean,1999,85.726471,1.693236,170
advertisements,bust-eu_clean,2000,85.280488,1.840408,164
advertisements,bust-eu_clean,2001,85.364198,2.186225,162
advertisements,bust-eu_clean,2004,85.017094,2.620431,234
advertisements,bust-eu_clean,2006,84.858140,2.640778,301
advertisements,bust-eu_clean,2002,85.000000,2.430633,164
advertisements,bust-eu_clean,2005,84.842128,2.308340,235
advertisements,bust-eu_clean,1995,87.269231,1.928309,91
advertisements,bust-eu_clean,1996,86.385621,1.670661,153
advertisements,bust-eu_clean,1997,86.103030,1.513654,165
advertisements,bust-eu_clean,1990,87.340580,1.918357,69
advertisements,bust-eu_clean,1992,87.577778,1.912277,90
advertisements,bust-eu_clean,1993,87.110092,1.667164,109
advertisements,bust-eu_clean,1994,86.752874,2.068414,87
advertisements,bust-eu_clean,1991,87.205952,2.026710,84
advertisements,bust-eu_clean,1982,88.468750,1.793216,16
advertisements,bust-eu_clean,1983,88.305556,1.871920,18
advertisements,bust-eu_clean,1984,88.805556,1.741694,18
advertisements,bust-eu_clean,1987,87.063830,1.596930,47
advertisements,bust-eu_clean,1988,87.225490,1.798093,51
advertisements,bust-eu_clean,1989,87.884615,2.522169,39
advertisements,bust-eu_clean,1976,86.318182,0.462208,11
advertisements,bust-eu_clean,1985,87.882353,2.050377,17
advertisements,bust-eu_clean,1986,87.560000,1.872610,25
advertisements,bust-eu_clean,1977,87.928571,2.439750,7
advertisements,bust-eu_clean,1978,89.000000,2.672612,8
advertisements,bust-eu_clean,1979,87.333333,2.041241,6
advertisements,bust-eu_clean,1980,87.550000,1.690661,10
advertisements,bust-eu_clean,1981,88.384615,1.816061,13
advertisements,bust-eu_clean,1970,86.500000,0.000000,1
advertisements,bust-eu_clean,1971,86.500000,0.000000,5
advertisements,bust-eu_clean,1972,86.500000,0.000000,9
advertisements,bust-eu_clean,1973,86.500000,0.000000,8
advertisements,bust-eu_clean,1974,86.500000,0.000000,11
advertisements,bust-eu_clean,1975,86.500000,0.000000,8
advertisements,waist-eu_clean,2021,61.527193,4.994414,2394
advertisements,waist-eu_clean,2023,61.233452,4.310991,2520
advertisements,waist-eu_clean,2024,61.140716,4.271323,2095
advertisements,waist-eu_clean,2017,60.974926,3.230381,2716
advertisements,waist-eu_clean,2018,60.860582,3.578644,2991
advertisements,waist-eu_clean,2019,60.761521,3.401606,3090
advertisements,waist-eu_clean,2020,61.010464,4.031944,2351
advertisements,waist-eu_clean,2022,61.414947,4.861475,2636
advertisements,waist-eu_clean,2015,61.098255,3.208012,2750
advertisements,waist-eu_clean,2008,60.749474,2.309452,760
advertisements,waist-eu_clean,2009,60.932565,2.397957,1041
advertisements,waist-eu_clean,2010,61.141793,3.007205,1249
advertisements,waist-eu_clean,2011,60.991048,2.599297,1642
advertisements,waist-eu_clean,2012,61.012814,2.840316,2068
advertisements,waist-eu_clean,2013,60.949288,2.938616,2459
advertisements,waist-eu_clean,2014,61.046380,3.097766,2486
advertisements,waist-eu_clean,2016,61.038387,3.493369,3001
