age_int,rfm_bin_left,rfm_bin_right,count
17,13.673469387755102,14.591836734693878,50
17,14.591836734693878,15.510204081632654,412
17,15.510204081632654,16.42857142857143,53
17,16.42857142857143,17.346938775510203,279
17,17.346938775510203,18.26530612244898,494
17,18.26530612244898,19.183673469387756,131
17,19.183673469387756,20.10204081632653,73
17,21.02040816326531,21.93877551020408,1
17,21.93877551020408,22.857142857142858,10
17,22.857142857142858,23.775510204081634,239
17,24.693877551020407,25.612244897959187,1
18,13.673469387755102,14.591836734693878,141
18,14.591836734693878,15.510204081632654,508
18,15.510204081632654,16.42857142857143,205
18,16.42857142857143,17.346938775510203,462
18,17.346938775510203,18.26530612244898,925
18,18.26530612244898,19.183673469387756,259
18,19.183673469387756,20.10204081632653,137
18,20.10204081632653,21.02040816326531,37
18,21.93877551020408,22.857142857142858,56
18,22.857142857142858,23.775510204081634,208
18,23.775510204081634,24.693877551020407,10
18,24.693877551020407,25.612244897959187,4
18,31.122448979591837,32.04081632653062,1
19,13.673469387755102,14.591836734693878,113
19,14.591836734693878,15.510204081632654,514
19,15.510204081632654,16.42857142857143,349
19,16.42857142857143,17.346938775510203,907
19,17.346938775510203,18.26530612244898,1163
19,18.26530612244898,19.183673469387756,603
19,19.183673469387756,20.10204081632653,98
19,20.10204081632653,21.02040816326531,64
19,21.02040816326531,21.93877551020408,43
19,21.93877551020408,22.857142857142858,97
19,22.857142857142858,23.775510204081634,172
19,23.775510204081634,24.693877551020407,54
19,24.693877551020407,25.612244897959187,5
19,25.612244897959187,26.53061224489796,1
20,12.755102040816327,13.673469387755102,23
20,13.673469387755102,14.591836734693878,352
20,14.591836734693878,15.510204081632654,548
20,15.510204081632654,16.42857142857143,321
20,16.42857142857143,17.346938775510203,882
20,17.346938775510203,18.26530612244898,984
20,18.26530612244898,19.183673469387756,700
20,19.183673469387756,20.10204081632653,96
20,20.10204081632653,21.02040816326531,115
20,21.02040816326531,21.93877551020408,60
20,21.93877551020408,22.857142857142858,93
20,22.857142857142858,23.775510204081634,211
20,23.775510204081634,24.693877551020407,79
20,24.693877551020407,25.612244897959187,11
20,25.612244897959187,26.53061224489796,12
20,32.95918367346939,33.87755102040816,4
20,38.46938775510204,39.38775510204081,2
21,12.755102040816327,13.673469387755102,184
21,13.673469387755102,14.591836734693878,250
21,14.591836734693878,15.510204081632654,560
21,15.510204081632654,16.42857142857143,342
21,16.42857142857143,17.346938775510203,916
21,17.346938775510203,18.26530612244898,668
21,18.26530612244898,19.183673469387756,698
21,19.183673469387756,20.10204081632653,83
21,20.10204081632653,21.02040816326531,150
21,21.02040816326531,21.93877551020408,17
21,21.93877551020408,22.857142857142858,110
21,22.857142857142858,23.775510204081634,169
21,23.775510204081634,24.693877551020407,85
21,24.693877551020407,25.612244897959187,26
21,25.612244897959187,26.53061224489796,22
21,32.04081632653062,32.95918367346939,2
21,32.95918367346939,33.87755102040816,6
21,38.46938775510204,39.38775510204081,2
22,12.755102040816327,13.673469387755102,203
22,13.673469387755102,14.591836734693878,177
22,14.591836734693878,15.510204081632654,494
22,15.510204081632654,16.42857142857143,353
22,16.42857142857143,17.346938775510203,593
22,17.346938775510203,18.26530612244898,737
22,18.26530612244898,19.183673469387756,723
22,19.183673469387756,20.10204081632653,84
22,20.10204081632653,21.02040816326531,181
22,21.02040816326531,21.93877551020408,40
22,21.93877551020408,22.857142857142858,107
22,22.857142857142858,23.775510204081634,165
22,23.775510204081634,24.693877551020407,78
22,24.693877551020407,25.612244897959187,28
22,25.612244897959187,26.53061224489796,3
22,32.04081632653062,32.95918367346939,2
23,12.755102040816327,13.673469387755102,125
23,13.673469387755102,14.591836734693878,107
23,14.591836734693878,15.510204081632654,560
23,15.510204081632654,16.42857142857143,256
23,16.42857142857143,17.346938775510203,396
23,17.346938775510203,18.26530612244898,819
23,18.26530612244898,19.183673469387756,725
23,19.183673469387756,20.10204081632653,336
23,20.10204081632653,21.02040816326531,156
23,21.02040816326531,21.93877551020408,42
23,21.93877551020408,22.857142857142858,111
23,22.857142857142858,23.775510204081634,148
23,23.775510204081634,24.693877551020407,71
23,24.693877551020407,25.612244897959187,46
23,25.612244897959187,26.53061224489796,17
23,32.04081632653062,32.95918367346939,3
23,32.95918367346939,33.87755102040816,1
23,34.79591836734694,35.714285714285715,4
23,38.46938775510204,39.38775510204081,2
24,12.755102040816327,13.673469387755102,111
24,13.673469387755102,14.591836734693878,45
24,14.591836734693878,15.510204081632654,575
24,15.510204081632654,16.42857142857143,198
24,16.42857142857143,17.346938775510203,467
24,17.346938775510203,18.26530612244898,1072
24,18.26530612244898,19.183673469387756,595
24,19.183673469387756,20.10204081632653,309
24,20.10204081632653,21.02040816326531,208
24,21.02040816326531,21.93877551020408,27
24,21.93877551020408,22.857142857142858,72
24,22.857142857142858,23.775510204081634,144
24,23.775510204081634,24.693877551020407,49
24,24.693877551020407,25.612244897959187,77
24,25.612244897959187,26.53061224489796,16
24,32.04081632653062,32.95918367346939,2
24,32.95918367346939,33.87755102040816,3
24,34.79591836734694,35.714285714285715,18
24,38.46938775510204,39.38775510204081,2
25,12.755102040816327,13.673469387755102,69
25,13.673469387755102,14.591836734693878,36
25,14.591836734693878,15.510204081632654,522
25,15.510204081632654,16.42857142857143,156
25,16.42857142857143,17.346938775510203,308
25,17.346938775510203,18.26530612244898,1022
25,18.26530612244898,19.183673469387756,428
25,19.183673469387756,20.10204081632653,157
25,20.10204081632653,21.02040816326531,194
25,21.02040816326531,21.93877551020408,25
25,21.93877551020408,22.857142857142858,59
25,22.857142857142858,23.775510204081634,126
25,23.775510204081634,24.693877551020407,35
25,24.693877551020407,25.612244897959187,95
25,25.612244897959187,26.53061224489796,4
25,32.04081632653062,32.95918367346939,1
25,32.95918367346939,33.87755102040816,9
25,34.79591836734694,35.714285714285715,34
25,38.46938775510204,39.38775510204081,3
26,12.755102040816327,13.673469387755102,70
26,13.673469387755102,14.591836734693878,18
26,14.591836734693878,15.510204081632654,373
26,15.510204081632654,16.42857142857143,105
26,16.42857142857143,17.346938775510203,240
26,17.346938775510203,18.26530612244898,731
26,18.26530612244898,19.183673469387756,355
26,19.183673469387756,20.10204081632653,93
26,20.10204081632653,21.02040816326531,127
26,21.02040816326531,21.93877551020408,23
26,21.93877551020408,22.857142857142858,50
26,22.857142857142858,23.775510204081634,51
26,23.775510204081634,24.693877551020407,37
26,24.693877551020407,25.612244897959187,54
26,25.612244897959187,26.53061224489796,6
26,32.04081632653062,32.95918367346939,1
26,32.95918367346939,33.87755102040816,9
26,34.79591836734694,35.714285714285715,34
26,38.46938775510204,39.38775510204081,5
27,12.755102040816327,13.673469387755102,66
27,13.673469387755102,14.591836734693878,5
27,14.591836734693878,15.510204081632654,170
27,15.510204081632654,16.42857142857143,215
27,16.42857142857143,17.346938775510203,360
27,17.346938775510203,18.26530612244898,391
27,18.26530612244898,19.183673469387756,249
27,19.183673469387756,20.10204081632653,72
27,20.10204081632653,21.02040816326531,168
27,21.02040816326531,21.93877551020408,3
27,21.93877551020408,22.857142857142858,27
27,22.857142857142858,23.775510204081634,31
27,23.775510204081634,24.693877551020407,22
27,24.693877551020407,25.612244897959187,39
27,25.612244897959187,26.53061224489796,19
27,32.04081632653062,32.95918367346939,14
27,32.95918367346939,33.87755102040816,14
27,34.79591836734694,35.714285714285715,46
27,38.46938775510204,39.38775510204081,4
28,12.755102040816327,13.673469387755102,30
28,13.673469387755102,14.591836734693878,4
28,14.591836734693878,15.510204081632654,131
28,15.510204081632654,16.42857142857143,126
28,16.42857142857143,17.346938775510203,372
28,17.346938775510203,18.26530612244898,336
28,18.26530612244898,19.183673469387756,194
28,19.183673469387756,20.10204081632653,79
28,20.10204081632653,21.02040816326531,151
28,21.02040816326531,21.93877551020408,4
28,21.93877551020408,22.857142857142858,32
28,22.857142857142858,23.775510204081634,31
28,23.775510204081634,24.693877551020407,24
28,24.693877551020407,25.612244897959187,40
28,25.612244897959187,26.53061224489796,6
28,27.448979591836736,28.367346938775512,1
28,32.04081632653062,32.95918367346939,16
28,32.95918367346939,33.87755102040816,17
28,34.79591836734694,35.714285714285715,51
28,38.46938775510204,39.38775510204081,1
29,12.755102040816327,13.673469387755102,22
29,13.673469387755102,14.591836734693878,2
29,14.591836734693878,15.510204081632654,99
29,15.510204081632654,16.42857142857143,81
29,16.42857142857143,17.346938775510203,345
29,17.346938775510203,18.26530612244898,261
29,18.26530612244898,19.183673469387756,226
29,19.183673469387756,20.10204081632653,68
29,20.10204081632653,21.02040816326531,73
29,21.02040816326531,21.93877551020408,6
29,21.93877551020408,22.857142857142858,35
29,22.857142857142858,23.775510204081634,5
29,23.775510204081634,24.693877551020407,16
29,24.693877551020407,25.612244897959187,26
29,25.612244897959187,26.53061224489796,2
29,32.04081632653062,32.95918367346939,43
29,32.95918367346939,33.87755102040816,23
29,34.79591836734694,35.714285714285715,53
29,38.46938775510204,39.38775510204081,1
30,12.755102040816327,13.673469387755102,8
30,13.673469387755102,14.591836734693878,4
30,14.591836734693878,15.510204081632654,83
30,15.510204081632654,16.42857142857143,63
30,16.42857142857143,17.346938775510203,210
30,17.346938775510203,18.26530612244898,295
30,18.26530612244898,19.183673469387756,262
30,19.183673469387756,20.10204081632653,33
30,20.10204081632653,21.02040816326531,64
30,21.02040816326531,21.93877551020408,4
30,21.93877551020408,22.857142857142858,14
30,22.857142857142858,23.775510204081634,24
30,23.775510204081634,24.693877551020407,4
30,24.693877551020407,25.612244897959187,27
30,25.612244897959187,26.53061224489796,5
30,30.20408163265306,31.122448979591837,1
30,32.04081632653062,32.95918367346939,32
30,32.95918367346939,33.87755102040816,9
30,34.79591836734694,35.714285714285715,88
31,12.755102040816327,13.673469387755102,2
31,14.591836734693878,15.510204081632654,77
31,15.510204081632654,16.42857142857143,38
31,16.42857142857143,17.346938775510203,182
31,17.346938775510203,18.26530612244898,275
31,18.26530612244898,19.183673469387756,191
31,19.183673469387756,20.10204081632653,38
31,20.10204081632653,21.02040816326531,90
31,21.02040816326531,21.93877551020408,7
31,21.93877551020408,22.857142857142858,20
31,22.857142857142858,23.775510204081634,11
31,23.775510204081634,24.693877551020407,2
31,24.693877551020407,25.612244897959187,33
31,25.612244897959187,26.53061224489796,4
31,32.04081632653062,32.95918367346939,42
31,32.95918367346939,33.87755102040816,10
31,34.79591836734694,35.714285714285715,50
32,12.755102040816327,13.673469387755102,11
32,14.591836734693878,15.510204081632654,56
32,15.510204081632654,16.42857142857143,34
32,16.42857142857143,17.346938775510203,182
32,17.346938775510203,18.26530612244898,147
32,18.26530612244898,19.183673469387756,142
32,19.183673469387756,20.10204081632653,38
32,20.10204081632653,21.02040816326531,86
32,21.02040816326531,21.93877551020408,3
32,21.93877551020408,22.857142857142858,4
32,22.857142857142858,23.775510204081634,21
32,23.775510204081634,24.693877551020407,11
32,24.693877551020407,25.612244897959187,29
32,25.612244897959187,26.53061224489796,2
32,32.04081632653062,32.95918367346939,36
32,32.95918367346939,33.87755102040816,13
32,34.79591836734694,35.714285714285715,53
33,14.591836734693878,15.510204081632654,63
33,15.510204081632654,16.42857142857143,23
33,16.42857142857143,17.346938775510203,124
33,17.346938775510203,18.26530612244898,73
33,18.26530612244898,19.183673469387756,141
33,19.183673469387756,20.10204081632653,22
33,20.10204081632653,21.02040816326531,69
33,21.93877551020408,22.857142857142858,16
33,22.857142857142858,23.775510204081634,3
33,23.775510204081634,24.693877551020407,2
33,24.693877551020407,25.612244897959187,12
33,25.612244897959187,26.53061224489796,5
33,26.53061224489796,27.448979591836736,1
33,32.04081632653062,32.95918367346939,19
33,32.95918367346939,33.87755102040816,8
33,34.79591836734694,35.714285714285715,34
34,14.591836734693878,15.510204081632654,37
34,15.510204081632654,16.42857142857143,25
34,16.42857142857143,17.346938775510203,95
34,17.346938775510203,18.26530612244898,104
34,18.26530612244898,19.183673469387756,125
34,19.183673469387756,20.10204081632653,37
34,20.10204081632653,21.02040816326531,50
34,21.02040816326531,21.93877551020408,4
34,21.93877551020408,22.857142857142858,30
34,23.775510204081634,24.693877551020407,5
34,24.693877551020407,25.612244897959187,13
34,25.612244897959187,26.53061224489796,1
34,32.04081632653062,32.95918367346939,19
34,32.95918367346939,33.87755102040816,2
35,14.591836734693878,15.510204081632654,10
35,15.510204081632654,16.42857142857143,22
35,16.42857142857143,17.346938775510203,75
35,17.346938775510203,18.26530612244898,75
35,18.26530612244898,19.183673469387756,123
35,19.183673469387756,20.10204081632653,12
35,20.10204081632653,21.02040816326531,49
35,21.02040816326531,21.93877551020408,1
35,21.93877551020408,22.857142857142858,22
35,23.775510204081634,24.693877551020407,2
35,24.693877551020407,25.612244897959187,2
35,25.612244897959187,26.53061224489796,5
35,32.04081632653062,32.95918367346939,10
36,14.591836734693878,15.510204081632654,34
36,15.510204081632654,16.42857142857143,8
36,16.42857142857143,17.346938775510203,82
36,17.346938775510203,18.26530612244898,69
36,18.26530612244898,19.183673469387756,52
36,19.183673469387756,20.10204081632653,18
36,20.10204081632653,21.02040816326531,47
36,21.02040816326531,21.93877551020408,1
36,21.93877551020408,22.857142857142858,25
36,24.693877551020407,25.612244897959187,8
36,25.612244897959187,26.53061224489796,5
36,32.04081632653062,32.95918367346939,23
37,14.591836734693878,15.510204081632654,31
37,15.510204081632654,16.42857142857143,5
37,16.42857142857143,17.346938775510203,113
37,17.346938775510203,18.26530612244898,86
37,18.26530612244898,19.183673469387756,33
37,19.183673469387756,20.10204081632653,12
37,20.10204081632653,21.02040816326531,62
37,21.02040816326531,21.93877551020408,1
37,21.93877551020408,22.857142857142858,20
37,24.693877551020407,25.612244897959187,3
37,25.612244897959187,26.53061224489796,4
37,26.53061224489796,27.448979591836736,2
37,32.04081632653062,32.95918367346939,12
38,14.591836734693878,15.510204081632654,32
38,15.510204081632654,16.42857142857143,4
38,16.42857142857143,17.346938775510203,60
38,17.346938775510203,18.26530612244898,101
38,18.26530612244898,19.183673469387756,39
38,20.10204081632653,21.02040816326531,55
38,21.02040816326531,21.93877551020408,2
38,21.93877551020408,22.857142857142858,18
38,23.775510204081634,24.693877551020407,1
38,24.693877551020407,25.612244897959187,4
38,25.612244897959187,26.53061224489796,1
38,26.53061224489796,27.448979591836736,1
38,32.04081632653062,32.95918367346939,4
39,14.591836734693878,15.510204081632654,58
39,16.42857142857143,17.346938775510203,21
39,17.346938775510203,18.26530612244898,74
39,18.26530612244898,19.183673469387756,57
39,20.10204081632653,21.02040816326531,65
39,21.02040816326531,21.93877551020408,7
39,21.93877551020408,22.857142857142858,26
39,24.693877551020407,25.612244897959187,9
40,14.591836734693878,15.510204081632654,53
40,16.42857142857143,17.346938775510203,28
40,17.346938775510203,18.26530612244898,82
40,18.26530612244898,19.183673469387756,51
40,19.183673469387756,20.10204081632653,9
40,20.10204081632653,21.02040816326531,57
40,21.02040816326531,21.93877551020408,4
40,21.93877551020408,22.857142857142858,30
40,24.693877551020407,25.612244897959187,10
40,26.53061224489796,27.448979591836736,1
